receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-09,Санкт-Петербург,nonchain,marlboro,50117,6159519,18989072,0.32
2019-08-09,Свердловская область,chain,marlboro,3131,6159519,18989072,0.32
2019-08-09,Свердловская область,nonchain,marlboro,14299,6159519,18989072,0.32
2019-08-09,г. Москва,chain,marlboro,1479,6159519,18989072,0.32
2019-08-09,г. Москва,nonchain,marlboro,37969,6159519,18989072,0.32
2019-08-10,Ленинградская область,chain,marlboro,1687,6159519,18989072,0.32
2019-08-10,Ленинградская область,nonchain,marlboro,29947,6159519,18989072,0.32
2019-08-10,Московская область,chain,marlboro,3937,6159519,18989072,0.32
2019-08-10,Московская область,nonchain,marlboro,34221,6159519,18989072,0.32
2019-08-10,Новосибирская область,chain,marlboro,9207,6159519,18989072,0.32
2019-08-10,Новосибирская область,nonchain,marlboro,17425,6159519,18989072,0.32
2019-08-10,Санкт-Петербург,chain,marlboro,7708,6159519,18989072,0.32
2019-08-10,Санкт-Петербург,nonchain,marlboro,104788,6159519,18989072,0.32
2019-08-10,Свердловская область,chain,marlboro,2658,6159519,18989072,0.32
2019-08-10,Свердловская область,nonchain,marlboro,11674,6159519,18989072,0.32
2019-08-10,г. Москва,chain,marlboro,2353,6159519,18989072,0.32
2019-08-10,г. Москва,nonchain,marlboro,48082,6159519,18989072,0.32
2019-08-11,Ленинградская область,chain,marlboro,1147,6159519,18989072,0.32
2019-08-11,Ленинградская область,nonchain,marlboro,16930,6159519,18989072,0.32
2019-08-11,Московская область,chain,marlboro,2240,6159519,18989072,0.32
2019-08-11,Московская область,nonchain,marlboro,21316,6159519,18989072,0.32
2019-08-11,Новосибирская область,chain,marlboro,11819,6159519,18989072,0.32
2019-08-11,Новосибирская область,nonchain,marlboro,13324,6159519,18989072,0.32
2019-08-11,Санкт-Петербург,chain,marlboro,6545,6159519,18989072,0.32
2019-08-11,Санкт-Петербург,nonchain,marlboro,120178,6159519,18989072,0.32
2019-08-11,Свердловская область,chain,marlboro,1352,6159519,18989072,0.32
2019-08-11,Свердловская область,nonchain,marlboro,7354,6159519,18989072,0.32
2019-08-11,г. Москва,chain,marlboro,1185,6159519,18989072,0.32
2019-08-11,г. Москва,nonchain,marlboro,19661,6159519,18989072,0.32
2019-08-12,Ленинградская область,chain,marlboro,1429,6159519,18989072,0.32
2019-08-12,Ленинградская область,nonchain,marlboro,27166,6159519,18989072,0.32
2019-08-12,Московская область,chain,marlboro,2467,6159519,18989072,0.32
2019-08-12,Московская область,nonchain,marlboro,25095,6159519,18989072,0.32
2019-08-12,Новосибирская область,chain,marlboro,6784,6159519,18989072,0.32
2019-08-12,Новосибирская область,nonchain,marlboro,13180,6159519,18989072,0.32
2019-08-12,Санкт-Петербург,chain,marlboro,9289,6159519,18989072,0.32
2019-08-12,Санкт-Петербург,nonchain,marlboro,56687,6159519,18989072,0.32
2019-08-12,Свердловская область,chain,marlboro,3533,6159519,18989072,0.32
2019-08-12,Свердловская область,nonchain,marlboro,16399,6159519,18989072,0.32
2019-08-12,г. Москва,chain,marlboro,1401,6159519,18989072,0.32
2019-08-12,г. Москва,nonchain,marlboro,36160,6159519,18989072,0.32
2019-08-13,Ленинградская область,chain,marlboro,1826,6159519,18989072,0.32
